name~location_id~city~state~awards~positive~uName~uLocation
Avec~427779~Chicago~Illinois~Certificate of Excellence 2016~positive~Jane F~Dublin, Ireland
Avec~427779~Chicago~Illinois~Certificate of Excellence 2016~negative~Stacy S~Madison, Wisconsin
Avec~427779~Chicago~Illinois~Certificate of Excellence 2016~positive~mssrfoie~Chicago, Illinois
Avec~427779~Chicago~Illinois~Certificate of Excellence 2016~negative~HT0375~Chicago
Avec~427779~Chicago~Illinois~Certificate of Excellence 2016~negative~JLFrazier5~Evansville, Indiana
Avec~427779~Chicago~Illinois~Certificate of Excellence 2016~negative~ACartier~Toronto, Canada
Avec~427779~Chicago~Illinois~Certificate of Excellence 2016~positive~Sasha B~St. Louis, United States
Avec~427779~Chicago~Illinois~Certificate of Excellence 2016~negative~TXRoadWarrior~Philadelphia, Pennsylvania
Avec~427779~Chicago~Illinois~Certificate of Excellence 2016~positive~awesomegal~Vienna, Virginia
Avec~427779~Chicago~Illinois~Certificate of Excellence 2016~negative~Frodogg1~Cleveland, Mississippi
Avec~427779~Chicago~Illinois~Certificate of Excellence 2016~positive~Mike M~Olympia, Washington
Avec~427779~Chicago~Illinois~Certificate of Excellence 2016~negative~CAppleby~London, United Kingdom
Bacco~432704~Seattle~Washington~Certificate of Excellence 2016~positive~bar3115~Anchorage, Alaska
Bacco~432704~Seattle~Washington~Certificate of Excellence 2016~negative~William A~Auckland, New Zealand
Bacco~432704~Seattle~Washington~Certificate of Excellence 2016~positive~Carlton T~Cooper City, Florida
Bacco~432704~Seattle~Washington~Certificate of Excellence 2016~negative~Michaela D~Sunnyvale, California
Bacco~432704~Seattle~Washington~Certificate of Excellence 2016~positive~Dani H~Tel Aviv, Israel
Bacco~432704~Seattle~Washington~Certificate of Excellence 2016~negative~730jane~Iowa City, Iowa
Bacco~432704~Seattle~Washington~Certificate of Excellence 2016~positive~Chevy S~Vancouver, British Columbia, Canada
Bacco~432704~Seattle~Washington~Certificate of Excellence 2016~negative~Jacqueline S~Mesa, Arizona
Bacco~432704~Seattle~Washington~Certificate of Excellence 2016~positive~Samantha G~Omaha, Nebraska
Bacco~432704~Seattle~Washington~Certificate of Excellence 2016~negative~gaveston71~Louisiana
Bacco~432704~Seattle~Washington~Certificate of Excellence 2016~positive~addsup2nick~London, United Kingdom
Bacco~432704~Seattle~Washington~Certificate of Excellence 2016~positive~culturebound~los angeles
Bacco~432704~Seattle~Washington~Certificate of Excellence 2016~positive~FuzzyBeaver~Montreal, Canada
Bacco~432704~Seattle~Washington~Certificate of Excellence 2016~negative~valorrmac~Cincinnati, Ohio
Bacco~432704~Seattle~Washington~Certificate of Excellence 2016~positive~brettnjess~Melbourne, Australia
Bacco~432704~Seattle~Washington~Certificate of Excellence 2016~positive~Sherri B~Frisco, Texas
Bacco~432704~Seattle~Washington~Certificate of Excellence 2016~negative~Charlie Y~Tampa, Florida
